ID,Type,Name,Lives In,Trigger,Sends To,Owner,Status,Notes
F-01,Form,Contact Us (2-step),WP site (/contact/),User submits form,CF7 → TBD (Zap/HubSpot?),TBD,Live,"CF7 form ID: 11830. Step 1: message textarea. Step 2: request-type dropdown, name, email, phone. Endpoint: /wp-json/contact-form-7/v1/contact-forms/11830/feedback"
F-02,Form,Free Assessment,WP site (/get-free-assessment/),User submits form,CF7 → TBD (Zap/HubSpot?),TBD,Live,"CF7 form ID: 68942. Fields: name (text-name), email (text-email), phone (text-phone), transaction_type dropdown. Custom select UI."
F-03,Form,Mortgage Calculator Quiz,WP site (/mortgage-calculator/),User completes quiz,TBD,TBD,Live,"Multi-step JS quiz app. Steps: purpose → applicant details → financials → contact. Renders in minimal shell (logo + back arrow). JS-loaded content."
F-04,Form,Assessment Quiz Popup,WP site (multiple pages),User clicks 'Get a Free Assessment' CTA,TBD,TBD,Live,"Popup Maker popups (#popmake-11791, #popmake-14062). Property price → deposit check → circumstances → contact fields."
F-05,Form,LVR Calculator Broker Form,WP site (/lvr-calculator/),User selects 'Yes' to broker contact,Gravity Forms → TBD,TBD,Live,"Gravity Form ID: 10 (gform_wrapper_10). Appears conditionally. Fields: full name, contact number, email."
F-06,Form,YTD Calculator Broker Form,WP site (/ytd-calculator/),User selects 'Yes' to broker contact,Gravity Forms → TBD,TBD,Live,"Gravity Form ID: 9 (gform_9). Appears conditionally. Fields: full name, contact number, email."
F-07,Form,Landing Page Forms,WP site (multiple landing pages),User submits form,CF7 → TBD,TBD,Live,"Appears on: /first-home-buyer-loans/, /refinance-home-loan/, /get-a-stress-free-first-home-loan/, /lower-your-rate/, /your-property-investment-journey/. Standard fields: name, email, phone."
F-08,Form,Mortgage Report Request,WP site (/mortgage-report/),User requests report,TBD,TBD,Live,Home affordability report generator. TBD: confirm form fields and destination.
C-01,Calculator,Mortgage Calculator,WP site (/mortgage-calculator/),User input,Display only (no data sent until contact step = F-03),N/A,Live,"Multi-step quiz: purpose, applicant type, state, dependents, income, deposit."
C-02,Calculator,Equity Calculator,WP site (/equity-calculator/),User input + calculate click,Display only,N/A,Live,"Fields: loan amount (#equity_loan_amount), property value (#equity_property_value), type (Investment 90% / Owner Occupier 80%). Outputs: LVR, max LVR, available equity."
C-03,Calculator,LVR Calculator,WP site (/lvr-calculator/),User input + calculate click,Display only (unless broker form F-05),N/A,Live,"Fields: loan amount (#lvr_loan_amount), property value (#lvr_property_value). Output: LVR percentage."
C-04,Calculator,YTD Calculator,WP site (/ytd-calculator/),User input + calculate click,Display only (unless broker form F-06),N/A,Live,"Fields: start date (#ytd_started_job), end date (#ytd_end_job), YTD income (#ytd_gross_income). Output: annualized income."
C-05,Calculator,Mortgage vs Rent,WP site (/mortgage-vs-rent-calculator/),User input + calculate click,Display only,N/A,Live,"Field: weekly rent (IMask formatted). Outputs: 5-year total (#fiveYearsPrice), affordable mortgage (#affordPrice). Uses 6% rate, 30yr term."
C-06,Calculator,Deposit Calculator,WP site (/deposit-calculator/),User input + calculate click,Display only,N/A,Live,"Fields: deposit amount, home price, rate, term. Slider: deposit percentage (nouislider). Outputs: deposit %, home price, monthly payment."
C-07,Calculator,Stamp Duty QLD,WP site (/stamp-duty-calculator-queensland/),User input + calculate click,Display only,N/A,Live,"Multi-step: state, price, purpose, security type, transaction type, first home buyer, primary residence, foreign purchaser. Outputs: total fees, stamp duty, transfer fee, etc."
C-08,Calculator,LMI Calculator,WP site (/lmi-calculator/),User input,Display only,N/A,Live,Quiz-style calculator with radio buttons and currency inputs. TBD: document specific fields.
C-09,Calculator,Extra Repayments,WP site (/home-loan-extra-repayment-calculator/),User input,Redirects to deposit calculator,N/A,Live,Contains deposit amount input that redirects to /deposit-calculator for full calculation.
Z-01,Zap,TBD - Contact form to CRM,Zapier,Webhook from CF7?,HubSpot?,TBD,TBD,"NEEDS INVESTIGATION: What Zap handles F-01 contact form submissions?"
Z-02,Zap,TBD - Assessment form to CRM,Zapier,Webhook from CF7?,HubSpot?,TBD,TBD,"NEEDS INVESTIGATION: What Zap handles F-02 assessment form submissions?"
Z-03,Zap,TBD - Quiz leads to CRM,Zapier,Webhook?,HubSpot?,TBD,TBD,"NEEDS INVESTIGATION: What Zap handles F-03 mortgage quiz completions?"
Z-04,Zap,TBD - Gravity Forms to CRM,Zapier,Gravity Forms submission?,HubSpot?,TBD,TBD,"NEEDS INVESTIGATION: What handles F-05/F-06 Gravity Form submissions?"
HS-WF-01,Workflow,TBD - New lead follow-up,HubSpot,Contact created/enrolled,TBD (email/task/notification),TBD,TBD,"NEEDS INVESTIGATION: What HubSpot workflows exist for new leads?"
HS-WF-02,Workflow,TBD - Lead assignment,HubSpot,Contact property set,TBD,TBD,TBD,"NEEDS INVESTIGATION: How are leads assigned to brokers?"
N-01,Notification,TBD - New lead alert,TBD,New contact in HubSpot?,Email/Slack/SMS to broker?,TBD,TBD,"NEEDS INVESTIGATION: How does the team get notified of new leads?"
